freqs	effects
0.6347	0.0437
0.15059999999999996	0.0603
0.7068	0.0542
0.9031	0.0902
0.8153	0.054
0.2133	0.0548
0.4596	0.0388
0.4404	0.0392
0.6228	0.0509
0.6783	0.0519
0.9064	0.0983
0.45620000000000005	0.0632
0.4022	0.0544
0.6656	0.059
0.9675	0.1211
0.6603	0.0443
0.976	0.1818
0.8992	0.0745
0.0181	0.2224
0.95	0.1146
0.8200000000000001	0.1123
0.6479	0.0818
0.6107	0.0465
0.6643	0.0496
0.3231	0.0411
0.27770000000000006	0.0442
0.8162	0.0592
0.3122	0.1257
0.6465000000000001	0.0443
0.8187	0.0509
0.6394	0.0459
0.6833	0.1002
0.27359999999999995	0.0695
0.9784	0.2046
0.2921	0.0457
0.209	0.0674
0.9765	0.2048
0.493	0.0729
0.556	0.0405
0.14900000000000002	0.055
0.07479999999999998	0.0712
0.3608	0.0406
0.49229999999999996	0.074
0.42789999999999995	0.0377
0.4155	0.0397
0.3865	0.0386
0.4324	0.0481
0.7986	0.0718
0.4225	0.1933
0.026	0.1294
0.9273	0.0879
0.7959	0.0728
0.6968	0.0473
0.9381	0.0898
0.8925	0.0926
0.7118	0.0751
0.2682	0.0442
0.7859	0.0595
0.4688	0.0469
0.35640000000000005	0.0472
0.44999999999999996	0.0499
0.7997	0.0482
0.4209	0.0539
0.4181	0.0643
0.6832	0.065
0.7776000000000001	0.0565
0.627	0.0461
0.33620000000000005	0.0673
0.2231	0.0638
0.32299999999999995	0.0409
0.8152	0.0657
0.0858	0.2937
0.0539	0.2289
0.07299999999999995	0.071
0.49470000000000003	0.0473
0.0533	0.0893
0.5383	0.0451
0.4536	0.0721
0.023900000000000032	0.1339
0.29979999999999996	0.0418
0.5857	0.116
0.3777	0.0414
0.25229999999999997	0.0416
0.4209	0.0375
0.4262	0.0722
0.563	0.1829
0.9448	0.0967
0.38970000000000005	0.0754
0.8885	0.0601
0.4445	0.0428
0.8821	0.1299
0.48319999999999996	0.1144
0.0468	0.0899
0.8683	0.0596
0.7941	0.0592
0.5408999999999999	0.0451
0.49139999999999995	0.0462
0.5666	0.0604
0.499	0.0412
0.26449999999999996	0.1378
0.30580000000000007	0.0473
0.5787	0.0453
0.03820000000000001	0.2754
0.6641	0.0595
0.40980000000000005	0.0449
0.6321	0.2476
0.9823	0.1879
0.38460000000000005	0.0735
0.5655	0.0422
0.8088	0.0537
0.9448	0.141
0.42100000000000004	0.0372
0.7614	0.0684
0.6717	0.0666
0.16990000000000005	0.1073
0.0898	0.0734
0.3396	0.0576
0.3742	0.0447
0.589	0.0402
0.4911	0.0479
0.7829	0.0606
0.4272	0.0369
0.2572	0.0614
0.032299999999999995	0.1866
0.35050000000000003	0.0414
0.5660000000000001	0.0638
0.1572	0.0792
0.19510000000000005	0.0533
0.7185	0.0889
0.831	0.0775
0.7127	0.0458
0.4569	0.0396
0.3268	0.0474
0.7556	0.0586
0.4344	0.0402
0.7322	0.0552
0.4493	0.052
0.229	0.077
0.9494	0.1006
0.5856	0.08
0.22140000000000004	0.0436
0.39490000000000003	0.0714
0.20100000000000007	0.0601
0.486	0.0657
0.43789999999999996	0.0473
0.8904	0.0686
0.4027	0.0422
0.0782	0.1032
0.16679999999999995	0.1303
0.37460000000000004	0.0522
0.36349999999999993	0.0423
0.0942	0.1156
0.5346	0.0443
0.3049	0.1202
0.0813	0.0711
0.7048	0.0466
0.243	0.084
0.5122	0.0543
0.12770000000000004	0.0634
0.5184	0.0434
0.5139	0.0413
0.9691	0.2147
0.5358	0.0558
0.7313	0.0941
0.6436999999999999	0.0428
0.44199999999999995	0.0655
0.5132	0.0522
0.2153	0.0525
0.5552	0.0655
